Total games tried: 27
Total successful: 2
441: yay
1: yay
7: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
4: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
24: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
25: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
3: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
456: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
6: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
393: nay (no working .jar)
453: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
454: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
443: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
445: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
442: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
464: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
463: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
459: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
447: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
726: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
960: nay (no downloads found)
578: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
766: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
639: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
964: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
731: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
804: nay (error), HTTPConnectionPool(host='dedomil.net', port=80): Read timed out. (read timeout=10)
